filename,s_sharp,s_comp,raw_score,rating,vetoed,veto_reason,n_detections,burst_group
DSC01992.heif,0.847517,0.777916,3.216065,1,0,,2,73
DSC01993.heif,0.709733,0.954913,3.451882,2,0,,1,73
DSC01994.heif,1.000000,0.743331,3.358327,1,0,,1,73
DSC01996.heif,0.631759,0.867099,3.115387,1,0,,1,73
DSC01998.heif,0.756352,0.820320,3.185329,1,0,,1,74
DSC01999.heif,0.653503,0.798650,2.976880,-1,1,raw=2.977 < min_raw=3.100 (cut penalty applied? False),1,74
DSC02000.heif,0.527424,0.929266,3.114300,1,0,,1,74
DSC02004.heif,1.000000,0.718481,3.296202,1,0,,1,75
DSC02005.heif,1.000000,0.662558,3.156396,1,0,,2,75
DSC02006.heif,1.000000,0.713890,3.284725,1,0,,1,75
DSC02007.heif,1.000000,0.809568,3.523921,2,0,,1,75
DSC02008.heif,1.000000,0.862397,3.655992,2,0,,1,75
DSC02009.heif,1.000000,0.887650,3.719126,2,0,,2,75
DSC02010.heif,1.000000,0.889760,3.724401,2,0,,1,75
DSC02011.heif,0.618371,0.907871,3.197233,1,0,,1,75
DSC02012.heif,0.646568,0.737900,2.814603,-1,1,raw=2.815 < min_raw=3.100 (cut penalty applied? False),1,75
DSC02013.heif,0.691004,0.777245,2.979618,-1,1,raw=2.980 < min_raw=3.100 (cut penalty applied? False),1,75
DSC02014.heif,0.873892,0.843814,3.420373,2,0,,2,76
DSC02015.heif,1.000000,0.903555,3.758887,2,0,,1,76
DSC02016.heif,1.000000,0.736354,3.340886,1,0,,1,76
DSC02017.heif,1.000000,0.817624,3.544061,2,0,,2,76
DSC02018.heif,1.000000,0.903663,3.759156,2,0,,1,76
DSC02019.heif,0.864688,0.906829,3.564105,2,0,,1,76
DSC02020.heif,0.835999,0.780711,3.205775,1,0,,1,76
DSC02022.heif,0.772537,0.711390,2.937280,-1,1,raw=2.937 < min_raw=3.100 (cut penalty applied? False),1,76
DSC02031.heif,0.808141,0.775002,3.149715,1,0,,1,77
DSC02032.heif,0.711790,0.644856,2.679825,-1,1,raw=2.680 < min_raw=3.100 (cut penalty applied? False),2,77
DSC02033.heif,0.878956,0.762055,3.223573,1,0,,1,77
DSC02035.heif,1.000000,0.734216,3.335540,1,0,,1,77
DSC02036.heif,0.566623,0.621987,2.404901,-1,1,raw=2.405 < min_raw=3.100 (cut penalty applied? False),1,77
DSC02038.heif,0.448294,0.973480,3.106141,1,0,,1,77
DSC02039.heif,0.389060,0.808005,2.603601,-1,1,raw=2.604 < min_raw=3.100 (cut penalty applied? False),2,77
DSC02040.heif,0.730748,0.856790,2.638098,-1,1,raw=2.638 < min_raw=3.100 (cut penalty applied? True),2,78
DSC02046.heif,0.449818,0.883362,2.283133,-1,1,raw=2.283 < min_raw=3.100 (cut penalty applied? True),1,78
DSC02047.heif,0.367864,0.923153,2.859678,-1,1,raw=2.860 < min_raw=3.100 (cut penalty applied? False),1,78
DSC02052.heif,0.524956,0.830422,2.263489,-1,1,raw=2.263 < min_raw=3.100 (cut penalty applied? True),2,79
DSC02053.heif,0.413115,0.843112,2.727453,-1,1,raw=2.727 < min_raw=3.100 (cut penalty applied? False),1,79
DSC02065.heif,0.455552,0.830370,2.759253,-1,1,raw=2.759 < min_raw=3.100 (cut penalty applied? False),1,80
DSC02066.heif,0.639600,0.840667,3.061067,-1,1,raw=3.061 < min_raw=3.100 (cut penalty applied? False),2,80
