filename,s_sharp,s_comp,raw_score,rating,vetoed,veto_reason,n_detections,burst_group
DSC02936.heif,0.808766,0.775828,3.152719,1,0,,6,190
DSC02937.heif,0.765083,0.784364,3.108534,1,0,,4,190
DSC02938.heif,0.704489,0.790489,3.032956,-1,1,raw=3.033 < min_raw=3.100 (cut penalty applied? False),4,190
DSC02939.heif,0.574687,0.887207,3.080048,-1,1,raw=3.080 < min_raw=3.100 (cut penalty applied? False),3,190
DSC02940.heif,0.591288,0.900754,3.138817,1,0,,2,190
DSC02941.heif,0.479401,0.732099,2.549349,-1,1,raw=2.549 < min_raw=3.100 (cut penalty applied? False),3,190
DSC02943.heif,0.345912,0.697541,2.262721,-1,1,raw=2.263 < min_raw=3.100 (cut penalty applied? False),1,190
DSC02944.heif,0.453382,0.785153,2.642955,-1,1,raw=2.643 < min_raw=3.100 (cut penalty applied? False),1,190
DSC02945.heif,0.371068,0.906621,2.823154,-1,1,raw=2.823 < min_raw=3.100 (cut penalty applied? False),2,190
DSC02946.heif,0.540451,0.949277,3.183868,1,0,,2,190
DSC02947.heif,0.516887,0.709244,2.548441,-1,1,raw=2.548 < min_raw=3.100 (cut penalty applied? False),2,190
DSC02948.heif,0.425243,0.777891,1.982592,-1,1,raw=1.983 < min_raw=3.100 (cut penalty applied? True),2,190
DSC02949.heif,0.417505,0.884270,2.836933,-1,1,raw=2.837 < min_raw=3.100 (cut penalty applied? False),2,190
DSC02950.heif,0.593493,0.904446,3.151354,1,0,,3,190
DSC02951.heif,0.488259,0.765891,2.647115,-1,1,raw=2.647 < min_raw=3.100 (cut penalty applied? False),2,190
DSC02952.heif,0.232968,0.875510,2.538228,-1,1,raw=2.538 < min_raw=3.100 (cut penalty applied? False),2,190
DSC02953.heif,0.224381,0.855886,2.476287,-1,1,raw=2.476 < min_raw=3.100 (cut penalty applied? False),2,190
DSC02954.heif,0.234275,0.782567,2.307829,-1,1,raw=2.308 < min_raw=3.100 (cut penalty applied? False),1,190
DSC02955.heif,0.232743,0.788069,2.319286,-1,1,raw=2.319 < min_raw=3.100 (cut penalty applied? False),2,190
DSC02956.heif,0.001287,0.569164,0.824841,-1,1,sharpness=0.001 < threshold=0.050,4,191
DSC02958.heif,0.239091,0.892875,2.590822,-1,1,raw=2.591 < min_raw=3.100 (cut penalty applied? False),1,191
DSC02959.heif,0.219979,0.888165,2.550381,-1,1,raw=2.550 < min_raw=3.100 (cut penalty applied? False),2,191
DSC02963.heif,0.026598,0.000000,0.039897,-1,1,no_detection,0,192
DSC02976.heif,0.257592,0.829775,2.460826,-1,1,raw=2.461 < min_raw=3.100 (cut penalty applied? False),2,192
DSC02980.heif,0.403685,0.763698,1.914772,-1,1,raw=1.915 < min_raw=3.100 (cut penalty applied? True),1,192
DSC02987.heif,0.414479,0.838891,2.718946,-1,1,raw=2.719 < min_raw=3.100 (cut penalty applied? False),1,192
DSC02999.heif,0.802476,0.754714,3.090499,-1,1,raw=3.090 < min_raw=3.100 (cut penalty applied? False),3,192
DSC03001.heif,0.625583,0.703507,2.697143,-1,1,raw=2.697 < min_raw=3.100 (cut penalty applied? False),8,192
DSC03011.heif,0.710120,0.679358,2.763574,-1,1,raw=2.764 < min_raw=3.100 (cut penalty applied? False),2,192
DSC03015.heif,0.951842,0.878962,3.625167,2,0,,2,192
DSC03019.heif,0.956836,0.904131,3.695581,2,0,,3,192
DSC03023.heif,0.463276,0.822292,2.750643,-1,1,raw=2.751 < min_raw=3.100 (cut penalty applied? False),3,192
DSC03027.heif,0.658528,0.809754,3.012177,-1,1,raw=3.012 < min_raw=3.100 (cut penalty applied? False),3,192
DSC03043.heif,0.548953,0.849452,2.947061,-1,1,raw=2.947 < min_raw=3.100 (cut penalty applied? False),4,193
DSC03045.heif,0.492284,0.922646,3.045040,-1,1,raw=3.045 < min_raw=3.100 (cut penalty applied? False),2,193
DSC03049.heif,0.524594,0.582620,2.243440,-1,1,raw=2.243 < min_raw=3.100 (cut penalty applied? False),2,193
DSC03054.heif,0.373342,0.881711,2.764290,-1,1,raw=2.764 < min_raw=3.100 (cut penalty applied? False),5,193
DSC03058.heif,0.358975,0.816508,2.579732,-1,1,raw=2.580 < min_raw=3.100 (cut penalty applied? False),1,193
DSC03060.heif,0.483857,0.870906,2.903051,-1,1,raw=2.903 < min_raw=3.100 (cut penalty applied? False),3,193
DSC03064.heif,0.511440,0.818011,2.812187,-1,1,raw=2.812 < min_raw=3.100 (cut penalty applied? False),1,193
DSC03069.heif,0.260473,0.855485,2.529422,-1,1,raw=2.529 < min_raw=3.100 (cut penalty applied? False),3,193
DSC03089.heif,1.000000,0.626794,3.066984,-1,1,raw=3.067 < min_raw=3.100 (cut penalty applied? False),5,194
DSC03092.heif,0.969156,0.600875,2.955921,-1,1,raw=2.956 < min_raw=3.100 (cut penalty applied? False),5,194
DSC03097.heif,0.539452,0.682307,2.514945,-1,1,raw=2.515 < min_raw=3.100 (cut penalty applied? False),2,194
DSC03099.heif,0.490593,0.864595,2.897376,-1,1,raw=2.897 < min_raw=3.100 (cut penalty applied? False),2,194
DSC03100.heif,0.536710,0.754631,2.691642,-1,1,raw=2.692 < min_raw=3.100 (cut penalty applied? False),2,194
DSC03111.heif,0.966447,0.774070,3.384846,1,0,,2,194
DSC03113.heif,0.868348,0.966423,3.718578,2,0,,1,194
DSC03122.heif,0.717508,0.739974,2.926196,-1,1,raw=2.926 < min_raw=3.100 (cut penalty applied? False),4,195
DSC03124.heif,0.630876,0.783247,2.904432,-1,1,raw=2.904 < min_raw=3.100 (cut penalty applied? False),4,195
DSC03128.heif,0.565355,0.681978,2.552977,-1,1,raw=2.553 < min_raw=3.100 (cut penalty applied? False),3,196
DSC03132.heif,0.911779,0.823295,3.425906,2,0,,2,197
DSC03134.heif,0.253301,0.809628,2.404022,-1,1,raw=2.404 < min_raw=3.100 (cut penalty applied? False),2,198
DSC03136.heif,0.608457,0.580671,1.764362,-1,1,raw=1.764 < min_raw=3.100 (cut penalty applied? True),3,199
DSC03137.heif,0.560645,0.513790,2.125442,-1,1,raw=2.125 < min_raw=3.100 (cut penalty applied? False),2,200
DSC03138.heif,0.783164,0.604049,2.684870,-1,1,raw=2.685 < min_raw=3.100 (cut penalty applied? False),2,201
DSC03139.heif,0.727594,0.581738,2.545735,-1,1,raw=2.546 < min_raw=3.100 (cut penalty applied? False),2,202
DSC03140.heif,0.556991,0.675053,2.523120,-1,1,raw=2.523 < min_raw=3.100 (cut penalty applied? False),3,203
DSC03141.heif,0.680230,0.529444,1.743955,-1,1,raw=1.744 < min_raw=3.100 (cut penalty applied? True),4,204
DSC03151.heif,0.261443,0.801671,2.396341,-1,1,raw=2.396 < min_raw=3.100 (cut penalty applied? False),2,205
DSC03161.heif,0.517874,0.820377,2.827752,-1,1,raw=2.828 < min_raw=3.100 (cut penalty applied? False),1,206
DSC03164.heif,0.297881,0.927779,2.766269,-1,1,raw=2.766 < min_raw=3.100 (cut penalty applied? False),2,206
DSC03165.heif,0.189125,0.768942,2.206043,-1,1,raw=2.206 < min_raw=3.100 (cut penalty applied? False),2,206
DSC03166.heif,0.364524,0.875258,2.734932,-1,1,raw=2.735 < min_raw=3.100 (cut penalty applied? False),3,206
